,loss,fn,fp,tn,tp,precision,recall,val_loss,val_fn,val_fp,val_tn,val_tp,val_precision,val_recall
0,0.05380891860104485,6.0,99.0,1123.0,0.0,0.0,0.0,0.005307517512337417,2.0,240.0,62.0,3.0,0.012345679104328156,0.6000000238418579
1,0.014813413009692532,5.0,391.0,831.0,1.0,0.0025510203558951616,0.1666666716337204,0.0055813026305057524,0.0,302.0,0.0,5.0,0.016286645084619522,1.0
2,0.0023874015176095407,0.0,1218.0,4.0,6.0,0.0049019609577953815,1.0,0.00202968476055014,0.0,302.0,0.0,5.0,0.016286645084619522,1.0
3,0.0011516323476932725,0.0,1222.0,0.0,6.0,0.004885993432253599,1.0,0.002328548550830262,0.0,302.0,0.0,5.0,0.016286645084619522,1.0
4,0.0010509097723803006,1.0,1029.0,193.0,5.0,0.004835589788854122,0.8333333134651184,0.002210790191318973,3.0,14.0,288.0,2.0,0.125,0.4000000059604645
5,0.0009991349740574253,4.0,41.0,1181.0,2.0,0.04651162773370743,0.3333333432674408,0.002542292767284735,4.0,8.0,294.0,1.0,0.1111111119389534,0.20000000298023224
6,0.0010950098072818755,5.0,21.0,1201.0,1.0,0.04545454680919647,0.1666666716337204,0.002468789061751362,4.0,6.0,296.0,1.0,0.1428571492433548,0.20000000298023224
7,0.0011001676495463045,3.0,833.0,389.0,3.0,0.003588516730815172,0.5,0.002399655956363894,4.0,6.0,296.0,1.0,0.1428571492433548,0.20000000298023224
8,0.0009919898364547312,4.0,21.0,1201.0,2.0,0.08695652335882187,0.3333333432674408,0.002623536100714234,4.0,5.0,297.0,1.0,0.1666666716337204,0.20000000298023224
9,0.0009710929674666726,4.0,15.0,1207.0,2.0,0.11764705926179886,0.3333333432674408,0.0026676132076750556,4.0,5.0,297.0,1.0,0.1666666716337204,0.20000000298023224
10,0.0010875143499055981,5.0,16.0,1206.0,1.0,0.05882352963089943,0.1666666716337204,0.002560796651455304,4.0,4.0,298.0,1.0,0.20000000298023224,0.20000000298023224
11,0.0011170039797908588,2.0,1066.0,156.0,4.0,0.003738317871466279,0.6666666865348816,0.002323806679091668,0.0,302.0,0.0,5.0,0.016286645084619522,1.0
12,0.0009730895118505758,4.0,47.0,1175.0,2.0,0.040816325694322586,0.3333333432674408,0.002439988020910648,4.0,4.0,298.0,1.0,0.20000000298023224,0.20000000298023224
13,0.0010530424268471823,4.0,22.0,1200.0,2.0,0.0833333358168602,0.3333333432674408,0.0023387024552236745,4.0,9.0,293.0,1.0,0.10000000149011612,0.20000000298023224
14,0.0010373444969125748,4.0,21.0,1201.0,2.0,0.08695652335882187,0.3333333432674408,0.0026504670852622327,4.0,4.0,298.0,1.0,0.20000000298023224,0.20000000298023224
15,0.0009925756498250552,4.0,16.0,1206.0,2.0,0.1111111119389534,0.3333333432674408,0.00241143234640645,4.0,4.0,298.0,1.0,0.20000000298023224,0.20000000298023224
16,0.0010911684736597325,5.0,15.0,1207.0,1.0,0.0625,0.1666666716337204,0.0023618974299731295,4.0,2.0,300.0,1.0,0.3333333432674408,0.20000000298023224
17,0.0009416930080946619,4.0,15.0,1207.0,2.0,0.11764705926179886,0.3333333432674408,0.0027217442116317875,4.0,2.0,300.0,1.0,0.3333333432674408,0.20000000298023224
18,0.0009674307282942769,4.0,10.0,1212.0,2.0,0.1666666716337204,0.3333333432674408,0.002573824777527248,4.0,2.0,300.0,1.0,0.3333333432674408,0.20000000298023224
19,0.0009714265708342886,4.0,9.0,1213.0,2.0,0.1818181872367859,0.3333333432674408,0.0025121146001161384,4.0,3.0,299.0,1.0,0.25,0.20000000298023224
20,0.0009620208163322511,4.0,12.0,1210.0,2.0,0.1428571492433548,0.3333333432674408,0.002690180093038627,4.0,2.0,300.0,1.0,0.3333333432674408,0.20000000298023224
21,0.0009685315063575143,4.0,13.0,1209.0,2.0,0.13333334028720856,0.3333333432674408,0.0024973169148896582,4.0,2.0,300.0,1.0,0.3333333432674408,0.20000000298023224
22,0.0009683021555650154,4.0,11.0,1211.0,2.0,0.1538461595773697,0.3333333432674408,0.0027468020970673763,4.0,1.0,301.0,1.0,0.5,0.20000000298023224
23,0.0009628583202919702,4.0,14.0,1208.0,2.0,0.125,0.3333333432674408,0.00269634008740533,4.0,2.0,300.0,1.0,0.3333333432674408,0.20000000298023224
24,0.00096439171456565,4.0,10.0,1212.0,2.0,0.1666666716337204,0.3333333432674408,0.002880962010956876,5.0,2.0,300.0,0.0,0.0,0.0
25,0.001003453398998584,4.0,12.0,1210.0,2.0,0.1428571492433548,0.3333333432674408,0.0022253840865949564,4.0,5.0,297.0,1.0,0.1666666716337204,0.20000000298023224
26,0.0009961658481058,4.0,18.0,1204.0,2.0,0.10000000149011612,0.3333333432674408,0.002427237819734633,4.0,2.0,300.0,1.0,0.3333333432674408,0.20000000298023224
27,0.0009533822687580902,4.0,10.0,1212.0,2.0,0.1666666716337204,0.3333333432674408,0.0029421184936815913,5.0,2.0,300.0,0.0,0.0,0.0
28,0.0009867492116151942,4.0,9.0,1213.0,2.0,0.1818181872367859,0.3333333432674408,0.002868667173810631,5.0,2.0,300.0,0.0,0.0,0.0
29,0.0010750639972471137,5.0,9.0,1213.0,1.0,0.10000000149011612,0.1666666716337204,0.002740013915385614,5.0,2.0,300.0,0.0,0.0,0.0
